unit,date,title,content,slides,r,assignment
I. Data Analysis in R,,Preliminary Survey,,,,assignments/00-preliminary-survey
I. Data Analysis in R,Mon Aug 22,1.1 — Introduction to Econometrics,content/1.1-content,slides/1.1-slides,,
I. Data Analysis in R,Wed Aug 24,1.2 — Meet R,content/1.2-content,slides/1.2-slides,r/1.2-r,
I. Data Analysis in R,Wed Aug 31,1.3 — Data Visualization,content/1.3-content,slides/1.3-slides,r/1.3-r,
I. Data Analysis in R,Wed Sep 7,1.4 — Data Wrangling,content/1.4-content,slides/1.4-slides,r/1.4-r,
I. Data Analysis in R,Mon Sep 12,1.5 — Optimize Workflow,content/1.5-content,slides/1.5-slides,r/1.5-r,
I. Data Analysis in R,,<strong>Problem Set 1 due Fri Sep 23</strong>,,,,assignments/01-problem-set
II. Linear Regression,Wed Sep 14,2.1 — Data and Descriptive Statistics,content/2.1-content,slides/2.1-slides,,
II. Linear Regression,Mon Sep 19,2.2 — Random Variables and Distributions,content/2.2-content,slides/2.2-slides,,
II. Linear Regression,,<strong>Problem Set 2 due Fri Sep 30</strong>,,,,assignments/02-problem-set
II. Linear Regression,Wed Sep 21,2.3 — Simple Linear Regression,content/2.3-content,slides/2.3-slides,,
II. Linear Regression,Mon Sep 26,2.4 — Goodness of Fit and Bias,content/2.4-content,slides/2.4-slides,,
II. Linear Regression,Wed Sep 28,2.5 — Precision and Diagnostics,content/2.5-content,slides/2.5-slides,r/2.5-r,
II. Linear Regression,Mon Oct 3,2.6 — Inference for Regression,content/2.6-content,slides/2.6-slides,,
II. Linear Regression,Wed Oct 5,2.7 — Hypothesis Testing for Regression,content/2.7-content,slides/2.7-slides,r/2.7-r,
II. Linear Regression,,<strong>Problem Set 3 due Fri Oct 14</strong>,,,,assignments/03-problem-set
II. Linear Regression, "Mon Oct 17", <strong>Midterm Exam</strong>,,,,assignments/01-exam
III. Causal Inference,Wed Oct 19,3.1 — The Fundamental Problem of Causal Inference,content/3.1-content,slides/3.1-slides,,
III. Causal Inference,Mon Oct 24,3.2 — DAGs,content/3.2-content,slides/3.2-slides,r/3.2-r,
III. Causal Inference,Wed Oct 26,3.3 — Omitted Variable Bias,content/3.3-content,slides/3.3-slides,,
IV. Multivariate Linear Regression,Mon Oct 31,"4.1 — Multivariate OLS Estimators: Bias, Precision, and Fit",content/4.1-content,slides/4.1-slides,r/4.1-r,
IV. Multivariate Linear Regression,,<strong>Problem Set 4 due Fri Nov 11</strong>,,,,assignments/04-problem-set
IV. Multivariate Linear Regression,Wed Nov 2,4.2 — Writing an Empirical Paper,content/4.2-content,slides/4.2-slides,,
IV. Multivariate Linear Regression,Mon Nov 7,4.3 — Categorical Data & Interactions,content/4.3-content,slides/4.3-slides,r/4.3-r,
IV. Multivariate Linear Regression,Mon Nov 14,4.4 — Nonlinearities & Variable Transformations,content/4.4-content,slides/4.4-slides,,
IV. Multivariate Linear Regression,,Problem Set 5,,,,
V. Advanced Research Designs,Mon Nov 16,5.1 — Panel Data and Fixed Effects Models,,,,
V. Advanced Research Designs,Mon Nov 21,5.2 — Difference-in-Difference Models,,,,
V. Advanced Research Designs,Wed Nov 28,5.3 — Instrumental Variables Models,,,,
V. Advanced Research Designs,Mon Dec 30,5.4 — Logistic Regression Models,,,,
V. Advanced Research Designs,,<strong>Research Paper</strong>,,,,assignments/research-paper
V. Advanced Research Designs,,<strong>Final Exam</strong>,,,,